faultNumber,simulationRun,sample,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
4,22,493,0.26566,3669.0,4502.4,9.4099,27.252,42.483,2694.7,74.443,120.39,0.3507,80.471,50.216,2622.9,23.556,48.402,3093.2,22.91,66.393,243.48,340.54,94.425,77.21,32.247,8.9108,25.884,6.6275,19.485,1.6358,33.104,13.877,23.202,1.0703,19.097,2.2579,4.984,2.3595,0.016449,0.85562,0.084139,54.165,43.03,63.503,53.549,26.226,61.942,22.07,42.783,38.735,42.835,51.482,44.995,18.226
13,15,109,0.34376,3639.4,4410.9,9.4226,27.045,42.297,2647.0,74.648,120.43,0.37381,80.806,51.315,2573.5,27.873,51.245,3053.3,23.303,72.047,385.52,334.11,94.449,77.352,31.961,9.2899,25.204,6.7805,19.218,1.7093,32.498,14.173,22.81,1.3611,19.396,2.3867,5.0175,2.4191,0.026875,0.819,0.063475,53.228,43.32,63.088,52.532,33.428,60.135,19.309,45.659,41.969,49.416,97.459,41.831,17.786
17,29,494,0.17583,3646.6,4520.0,9.3005,26.659,42.025,2707.7,75.072,120.36,0.34952,79.627,49.607,2635.7,26.151,48.361,3104.4,22.77,66.01,245.48,341.5,94.322,76.682,32.114,8.8912,26.521,6.9915,19.139,1.654,33.556,13.86,24.608,1.1246,18.593,2.2673,4.7584,2.3258,0.025662,0.80445,0.088836,53.194,43.939,63.122,54.714,17.77,61.88,21.897,40.227,36.944,42.742,50.516,41.357,18.647
12,49,66,0.19037,3682.0,4479.6,9.471,26.752,42.494,2736.4,74.964,120.35,0.32149,80.221,50.734,2666.8,22.439,49.861,3132.5,21.136,66.589,229.41,347.0,94.138,76.244,32.595,8.6638,27.055,6.8209,18.448,1.6662,33.095,13.71,24.294,1.0456,18.198,2.2623,5.0301,2.3495,0.012425,0.88015,0.10105,53.698,43.582,63.906,54.332,18.439,62.621,23.319,37.802,40.261,46.213,48.422,41.593,22.374
12,23,140,0.23376,3664.2,4583.3,9.2292,27.264,42.377,2683.2,75.412,120.4,0.31953,79.039,50.986,2611.5,25.377,53.18,3076.6,25.78,65.58,260.67,339.32,95.088,76.1,32.072,9.1458,26.207,6.8438,19.203,1.6443,33.459,14.01,24.184,1.3048,18.201,2.2736,4.6453,2.265,0.023299,0.83894,0.085864,54.1,43.464,63.352,53.955,22.634,58.837,22.39,38.237,41.003,53.894,53.592,39.498,11.31
10,54,399,0.31353,3672.1,4499.8,9.2234,26.582,42.84,2697.8,74.835,120.38,0.34621,80.301,51.617,2625.7,26.363,50.169,3097.9,22.885,66.199,205.14,338.81,94.697,77.574,31.921,8.7501,26.609,6.989,19.157,1.7072,32.413,13.938,23.602,1.1168,19.157,2.2937,4.9456,2.3689,0.014052,0.84705,0.08544,53.76,43.108,63.158,53.793,31.2,60.494,21.449,41.207,42.859,46.924,42.372,40.189,18.301
19,8,241,0.2233,3627.9,4505.9,9.2887,26.734,42.338,2699.6,74.946,120.37,0.36108,79.99,48.637,2628.1,26.084,50.959,3102.6,21.979,65.692,228.37,339.32,94.536,77.016,32.186,9.1346,26.636,7.0018,19.051,1.6209,33.001,13.707,24.049,1.2375,19.162,2.2676,4.7918,2.2937,0.024979,0.8429,0.096018,54.862,42.787,63.121,54.026,22.055,61.654,22.428,43.032,34.089,48.754,45.618,40.755,20.444
1,13,69,0.96062,3673.8,4529.8,8.3596,26.787,41.872,2770.1,77.748,120.42,0.2594,77.756,51.37,2696.7,25.798,49.542,3174.5,23.303,66.749,292.41,332.23,94.847,75.649,30.265,8.8704,28.834,6.9815,18.636,1.5713,30.008,13.665,28.413,1.3217,18.39,2.1129,4.4017,2.1221,0.018935,0.98506,0.13171,54.756,43.019,62.869,53.981,94.578,53.275,21.57,31.171,42.133,45.475,62.832,40.433,18.335
13,47,152,0.33654,3658.5,4410.1,9.7567,26.797,42.515,2590.8,72.462,120.41,0.46375,82.581,49.693,2517.6,26.204,51.018,2995.1,24.258,73.2,374.81,336.16,94.319,78.6,32.399,9.5503,25.072,6.8386,18.324,1.8382,32.722,14.8,21.617,1.2766,18.678,2.5882,5.4998,2.6627,0.019874,0.68996,0.077119,52.976,43.658,62.602,51.842,32.99,65.088,18.555,57.135,37.197,48.89,98.851,41.853,15.222
5,74,195,0.17261,3703.3,4539.0,9.5366,27.021,42.811,2725.1,75.079,120.43,0.33302,79.709,50.366,2655.7,25.144,49.416,3115.5,23.563,68.241,300.07,348.64,94.225,77.641,32.879,8.8095,26.604,6.8687,18.199,1.6715,33.814,13.886,24.583,1.1128,17.301,2.2807,4.7631,2.3114,-0.0024317,0.73203,0.085777,53.105,43.737,64.163,54.304,17.254,59.454,24.162,38.486,39.177,45.182,66.295,42.467,19.356
18,34,427,0.0014259,3816.7,4943.2,10.412,26.745,42.998,3000.0,75.238,120.4,0.22192,73.447,49.331,2941.6,24.257,49.247,3348.5,20.81,64.123,289.72,372.85,92.664,74.295,35.246,8.0581,30.604,6.6454,14.608,1.5035,37.751,12.61,29.112,0.87879,12.242,2.0312,3.6457,1.8102,0.0094646,0.57113,0.095131,53.645,45.326,86.351,100.0,3.389,60.663,-0.073527,2.1752,36.133,44.791,-0.18408,50.365,94.901
15,44,7,0.25846,3702.8,4523.6,9.3673,26.354,41.913,2705.6,74.928,120.41,0.34462,80.254,50.568,2633.7,25.316,48.506,3102.6,23.277,65.762,228.8,341.24,94.341,77.403,32.417,8.7721,26.302,6.7915,18.727,1.6517,32.673,14.013,23.895,1.296,18.603,2.2223,4.8305,2.2473,0.028946,0.83073,0.088006,54.102,43.465,63.655,53.163,25.522,60.62,21.958,40.517,39.77,43.076,47.576,41.248,17.317
18,50,297,0.0026595,3780.2,4727.9,11.227,26.969,43.451,3000.1,70.432,120.42,0.31698,76.978,48.557,2945.2,21.633,48.657,3337.8,22.937,70.18,415.44,386.4,91.938,70.736,37.22,7.8314,29.046,6.3773,12.827,1.5174,41.206,12.643,26.167,0.79866,10.679,2.0886,4.098,2.0295,0.018024,0.4156,0.077231,51.838,45.712,74.618,77.636,0.0,96.94,100.03,0.0,33.853,43.427,-0.097687,77.927,20.312
2,44,310,0.30804,3688.6,4650.8,9.6588,26.837,42.679,2687.8,74.704,120.39,0.65725,81.921,49.465,2615.5,23.217,50.182,3092.0,21.674,63.737,142.29,339.07,94.372,79.419,32.456,8.7971,26.794,6.9439,18.691,0.98489,32.871,13.476,24.152,1.2677,18.527,1.4079,5.0963,2.3101,0.011263,0.82713,0.055402,53.736,43.463,63.648,56.048,30.158,61.293,20.554,78.833,36.525,46.956,28.373,42.163,19.785
12,77,188,0.1347,3669.4,4590.0,9.4461,26.894,42.282,2704.4,75.276,120.32,0.32613,75.655,51.279,2630.1,25.677,50.273,3096.8,23.854,64.539,225.02,345.65,95.368,73.345,31.765,8.7336,27.006,6.8535,18.092,1.6837,33.013,13.616,25.422,1.2168,17.481,2.2483,4.8511,2.314,0.025826,0.73306,0.094194,53.282,44.233,63.592,55.458,13.525,61.83,22.874,37.558,41.865,47.166,43.314,39.141,15.711
10,51,66,0.24447,3691.4,4445.7,9.3287,26.903,41.926,2705.2,75.367,120.39,0.33908,80.161,49.755,2635.5,26.296,49.869,3098.2,23.458,66.92,228.99,343.65,94.403,77.563,32.344,8.8845,26.074,6.917,18.403,1.6497,33.068,13.954,23.756,1.2841,18.545,2.2911,4.8527,2.2126,0.021796,0.80448,0.087198,54.518,44.393,63.766,53.826,24.13,60.637,23.0,40.321,37.379,46.232,48.763,41.279,16.841
2,23,106,0.22273,3707.3,4643.0,9.6844,26.822,42.85,2744.1,75.088,120.35,0.72023,80.143,49.544,2673.2,25.041,50.568,3142.6,22.607,63.98,187.26,344.99,94.362,78.611,32.23,9.4962,26.455,6.8921,18.502,1.4332,33.265,14.815,24.516,1.3832,17.381,1.9559,4.7521,2.2536,0.0073842,0.78494,0.091535,53.661,43.881,63.521,56.144,21.921,62.505,22.956,84.584,36.757,47.85,35.774,40.269,18.376
17,33,69,0.24437,3710.0,4510.6,9.4779,26.806,42.214,2702.0,74.922,120.46,0.33822,80.171,50.324,2630.6,24.349,48.622,3100.6,23.31,65.846,229.79,341.19,88.691,77.301,32.253,8.7923,26.318,6.8183,19.234,1.6761,33.078,13.716,24.248,1.3248,18.837,2.2299,4.9096,2.254,0.025845,0.84335,0.099384,53.238,42.742,62.865,55.293,23.962,61.007,21.78,40.246,39.052,43.345,47.92,45.616,17.186
14,61,449,0.23248,3650.7,4522.6,9.3885,27.102,42.179,2711.0,74.392,120.75,0.36328,80.093,49.416,2640.1,23.985,48.506,3108.4,23.892,65.459,223.85,341.43,94.205,77.476,32.385,8.7774,26.573,6.8551,18.563,1.6435,32.683,13.84,24.539,1.4616,18.238,2.2379,4.8168,2.2678,0.024924,0.83084,0.10569,54.631,43.787,63.538,53.611,22.861,62.544,22.566,42.999,36.382,43.077,45.462,51.081,15.828
15,2,177,0.24739,3597.5,4533.7,9.266,26.765,42.269,2714.1,75.138,120.44,0.3348,80.221,49.815,2642.3,24.248,49.535,3110.2,22.264,64.381,195.12,341.33,94.65,77.208,32.101,8.8258,26.625,6.9,18.941,1.6154,33.166,13.82,24.269,1.368,18.436,2.2448,4.7497,2.2665,0.023135,0.86563,0.10863,53.209,42.917,63.698,54.371,24.716,60.677,22.594,40.604,37.554,45.459,38.912,42.452,19.719
10,67,500,0.32201,3624.3,4470.5,9.1252,27.052,42.494,2696.4,76.8,120.37,0.32214,80.034,49.66,2622.8,24.275,49.55,3097.0,22.282,65.152,202.95,336.95,94.994,76.558,31.861,8.8785,25.955,6.896,19.128,1.6058,32.309,13.857,23.916,1.0908,18.957,2.2505,4.7461,2.3792,-0.0051297,0.84937,0.087743,53.458,43.521,61.922,53.816,31.334,62.533,21.35,38.987,37.098,45.492,41.018,40.572,19.899
10,24,15,0.26658,3595.4,4522.6,9.3302,27.043,42.367,2710.2,75.291,120.38,0.34342,80.046,47.84,2639.0,26.65,48.872,3106.1,23.851,65.749,229.68,343.25,94.553,77.16,32.197,8.8034,26.492,7.0919,18.433,1.6511,33.229,13.879,23.996,1.227,18.568,2.2524,4.8968,2.3805,0.030243,0.8477,0.088989,53.534,44.053,62.662,54.35,25.913,63.512,22.493,41.302,31.745,43.923,47.077,40.96,15.967
19,17,137,0.29772,3663.9,4518.2,9.3689,26.879,42.797,2689.8,74.372,120.4,0.34677,80.515,50.008,2616.7,24.88,49.876,3093.8,24.309,66.15,235.24,338.27,94.522,77.664,31.715,8.841,26.209,6.9512,18.979,1.6736,32.711,13.881,23.556,1.4002,19.198,2.2598,4.8699,2.4239,-0.013746,0.84282,0.088067,54.201,44.881,63.62,53.048,29.556,60.549,22.359,42.564,38.123,46.247,48.585,40.886,14.864
14,39,321,0.24727,3663.4,4497.5,9.1744,27.047,42.446,2708.3,75.197,120.39,0.32801,79.667,47.936,2636.0,24.794,49.904,3106.3,23.711,64.833,211.73,339.33,96.555,76.899,32.752,8.8978,26.742,6.8783,18.72,1.661,32.531,13.824,24.654,1.3045,18.642,2.2457,4.874,2.2734,0.019629,0.8584,0.096399,53.05,44.103,62.477,54.51,24.338,59.492,22.0,38.937,32.025,46.312,42.35,42.392,16.391
18,33,397,0.0034342,3782.1,4704.3,11.58,26.993,43.776,3000.1,69.152,120.4,0.35023,74.421,49.232,2943.2,21.988,49.428,3341.0,23.714,68.791,428.47,387.58,92.225,76.572,37.614,7.9212,28.529,6.6071,13.18,1.4906,40.852,12.571,26.767,0.61471,10.684,2.0501,3.7404,1.9685,0.012093,0.45137,0.072262,52.992,44.453,96.385,100.0,0.0,100.01,100.04,3.6644,35.839,45.209,-0.17562,47.733,1.1467
9,51,289,0.29934,3609.3,4533.3,9.3282,27.167,42.791,2703.9,73.591,120.41,0.35571,80.249,49.757,2631.6,24.507,49.969,3102.1,22.685,65.891,235.85,340.62,94.699,77.576,32.447,9.0048,26.36,6.8284,18.859,1.6631,33.182,14.088,23.386,1.3024,18.989,2.2929,4.832,2.3765,0.020553,0.86358,0.11944,54.117,43.519,61.671,52.978,29.505,61.987,22.077,42.586,37.384,46.461,49.089,41.245,18.764
13,20,248,0.19645,3657.8,4452.9,9.2886,26.638,42.422,2782.1,76.152,120.42,0.26517,78.705,50.111,2714.1,27.003,48.104,3169.5,23.14,69.371,367.4,348.95,94.659,77.067,32.669,8.6551,26.23,6.8144,19.222,1.5983,34.166,13.572,23.98,1.3086,18.215,2.1955,4.3933,2.1012,0.041713,0.81295,0.084566,53.182,44.082,62.213,53.565,19.469,61.343,25.449,30.504,38.428,42.146,85.513,41.393,18.079
2,29,266,0.27785,3660.2,4651.6,9.6358,26.933,42.365,2689.2,74.318,120.39,0.69385,81.77,49.777,2616.6,24.337,50.349,3091.2,23.373,63.32,135.34,339.79,94.442,79.36,31.763,8.6607,26.998,6.9977,18.994,1.0153,32.811,13.744,24.699,1.3532,18.695,1.4733,5.1328,2.4707,0.036278,0.84122,0.049961,53.648,43.526,63.356,55.483,27.177,62.105,21.202,83.093,37.445,47.343,26.296,41.461,15.75
20,33,153,0.1664,3702.2,4511.3,9.5974,26.949,42.104,2714.0,75.037,120.42,0.34637,80.075,48.475,2642.3,24.585,49.575,3107.4,22.093,65.679,230.36,345.02,94.363,77.309,32.541,8.7857,26.769,6.8886,18.73,1.6342,33.511,13.717,23.983,1.1712,18.018,2.2757,4.802,2.2915,0.023392,0.81473,0.096626,54.016,43.738,63.388,54.436,16.469,60.389,23.307,40.716,33.611,45.55,47.579,42.034,20.167
2,47,392,0.2934,3753.9,4655.9,9.6932,26.939,42.753,2691.1,75.075,120.42,0.7028,81.479,49.125,2619.4,25.116,51.138,3091.5,23.535,63.063,131.19,341.72,94.255,79.419,32.162,8.94,27.049,7.1137,19.156,1.0209,32.88,13.961,24.19,1.3181,18.262,1.3873,5.0974,2.5269,0.0084876,0.8273,0.074398,53.354,42.912,63.99,55.192,29.116,63.195,21.514,83.997,35.526,49.168,25.393,41.569,15.413
14,76,447,0.24387,3593.2,4526.9,9.3602,26.673,42.32,2697.9,74.32,120.5,0.33108,80.155,50.546,2626.8,24.813,51.565,3094.4,22.405,66.292,245.25,341.58,92.947,77.654,32.377,8.7844,25.98,6.7311,18.884,1.6646,32.855,13.826,23.98,1.2981,19.104,2.2611,4.8666,2.3723,0.014188,0.84163,0.088993,53.961,43.694,63.344,53.46,23.993,61.786,22.051,39.32,39.705,50.155,51.827,43.617,19.425
14,71,179,0.25002,3646.6,4527.5,9.5297,26.703,42.77,2699.3,74.879,120.39,0.36479,80.601,49.986,2626.9,24.949,48.019,3098.7,22.817,66.135,233.45,339.86,96.505,77.657,32.275,9.0837,26.324,6.8982,18.991,1.6524,32.98,13.827,23.937,1.1837,18.731,2.2868,4.8999,2.3305,0.018717,0.83333,0.10055,53.976,43.513,63.302,53.875,24.688,60.777,21.474,42.96,38.058,41.95,49.381,41.669,18.349
3,13,435,0.25952,3714.1,4493.5,9.3629,26.686,42.818,2704.4,75.319,120.42,0.33993,80.285,51.581,2632.8,24.052,51.407,3101.3,21.236,65.683,226.13,341.93,94.478,77.301,32.22,9.0392,26.234,7.0425,18.582,1.711,33.05,13.983,23.729,1.2827,18.631,2.2911,4.8654,2.1973,0.012088,0.83102,0.093345,53.871,42.676,62.593,54.635,25.209,63.776,22.05,39.959,42.752,49.79,46.517,40.927,22.143
3,14,69,0.23323,3733.1,4481.6,9.3678,26.863,42.25,2702.4,74.526,120.41,0.35882,80.282,50.421,2632.8,25.947,51.84,3097.6,23.63,65.631,231.62,342.65,94.361,77.627,32.348,8.8253,26.323,6.7846,18.617,1.6792,33.073,13.923,23.538,1.024,18.387,2.2542,4.7505,2.267,0.014022,0.85729,0.091479,55.068,44.079,63.807,53.456,22.717,61.251,22.619,41.441,39.34,50.791,47.228,41.106,16.491
6,70,231,0.0,3588.3,4237.3,9.6145,26.824,42.335,3000.0,73.519,120.39,0.22829,72.937,50.351,2920.1,24.059,49.564,3446.4,22.374,67.289,463.11,307.61,95.965,73.066,24.422,8.5839,35.396,6.5809,19.109,1.5006,21.609,13.513,37.86,1.2577,19.206,1.9515,3.3773,1.4958,0.031433,1.072,0.11534,53.636,42.702,67.254,47.766,100.0,81.805,-0.036871,0.0,39.132,45.525,100.12,0.72862,32.172
11,39,353,0.30603,3680.2,4450.8,9.2754,26.819,42.551,2691.4,74.183,120.27,0.34514,80.369,49.493,2620.6,26.011,50.567,3091.9,23.185,66.301,237.34,339.32,94.4,77.073,32.253,8.9848,25.981,6.8934,19.364,1.6381,32.397,13.881,23.221,1.2059,19.816,2.2772,4.974,2.3661,0.03354,0.87401,0.10355,53.302,43.784,64.053,52.631,30.152,61.41,21.519,41.459,36.607,47.846,49.667,40.459,17.606
16,3,102,0.20308,3696.8,4556.7,9.3057,27.019,42.599,2697.7,74.236,120.41,0.34662,80.033,49.669,2625.8,24.714,49.128,3094.9,22.599,65.999,245.15,342.73,94.377,77.102,32.421,8.7903,25.973,6.9094,18.477,1.6779,33.291,13.921,23.786,1.2269,19.104,2.2632,4.8564,2.2523,0.017871,0.85547,0.10009,53.349,43.576,63.799,54.139,19.955,60.67,21.785,40.888,37.126,44.516,53.987,41.656,18.959
1,19,72,0.96334,3599.3,4493.6,7.9901,27.055,42.093,2751.4,78.79,120.37,0.26877,78.138,49.486,2678.2,25.285,50.504,3157.6,21.78,67.205,300.88,330.73,95.18,75.245,29.828,8.8674,28.991,6.7886,18.841,1.5765,29.748,13.777,27.865,1.1442,18.388,2.1303,4.3609,2.0087,0.022959,0.98612,0.12887,54.191,43.394,62.156,54.826,95.087,55.911,21.019,32.911,36.586,47.7,65.822,38.824,22.115
15,15,63,0.22704,3662.9,4531.5,9.3264,26.982,42.222,2696.6,74.924,120.38,0.35308,80.269,48.848,2625.3,23.732,50.354,3094.7,23.387,66.05,236.15,340.46,94.52,77.328,31.598,8.9011,26.375,6.8969,18.67,1.7069,32.937,13.803,23.843,1.3458,18.393,2.2508,4.8653,2.3786,0.018314,0.8253,0.12896,53.463,44.063,63.955,53.477,22.665,60.708,21.885,41.545,34.71,47.352,49.126,40.736,17.089
18,79,228,0.0041858,3790.8,4853.7,10.615,26.806,43.295,3000.0,73.596,120.36,0.28277,73.95,49.286,2942.6,23.937,48.965,3344.2,22.504,68.819,413.97,380.14,92.377,74.257,36.271,7.7345,29.77,6.5189,13.915,1.5467,39.185,12.573,28.094,0.60857,11.938,1.9904,3.7363,1.8698,0.0021846,0.48216,0.092092,51.73,44.969,68.6,68.741,0.0,73.942,-0.045055,1.9455,36.0,44.139,4.6207,35.083,22.056
4,21,145,0.22343,3680.6,4491.8,9.4368,26.865,42.987,2695.3,73.917,120.42,0.33257,80.144,50.405,2623.5,26.343,48.815,3093.5,21.89,66.262,238.91,341.83,94.596,77.015,32.204,8.9786,26.653,6.8847,18.458,1.6572,33.051,13.988,23.626,1.2681,18.402,2.2871,4.9493,2.3927,0.013786,0.8112,0.077179,54.123,44.064,62.724,53.578,21.907,60.182,21.726,40.367,39.291,43.792,49.937,45.455,20.594
1,13,33,0.43619,3668.6,4413.3,9.3298,26.877,42.622,2747.0,75.176,120.4,0.33282,80.139,47.021,2672.1,25.541,50.343,3163.7,24.256,65.573,227.03,327.35,94.844,77.116,29.981,8.7781,28.09,6.8658,18.964,1.6283,30.394,13.587,26.546,1.2286,19.313,2.2675,4.8947,2.225,0.0084324,0.8347,0.1047,54.069,43.175,63.263,53.583,42.739,58.453,19.15,40.633,29.333,47.327,46.92,40.377,14.951
9,67,351,0.2533,3657.4,4472.5,9.4125,27.179,42.174,2707.9,74.708,120.41,0.32383,79.886,49.931,2637.3,25.148,52.603,3105.4,23.008,65.761,232.71,343.0,94.418,77.146,32.284,8.9489,26.537,6.8068,18.389,1.6803,32.701,13.877,24.219,1.2088,18.523,2.2694,4.9122,2.3494,0.03465,0.83781,0.10468,53.706,44.234,63.781,54.15,24.958,61.611,22.63,38.611,37.896,52.557,48.048,41.319,17.987
1,80,429,0.80656,3650.5,4493.8,8.8619,27.145,42.315,2699.7,75.743,120.42,0.31345,80.551,50.778,2627.9,24.899,51.094,3100.1,23.095,67.512,251.7,339.91,94.564,77.489,32.096,9.1122,26.328,6.9625,19.036,1.7182,32.852,13.968,23.633,1.2276,19.298,2.3116,4.979,2.3238,0.02619,0.8228,0.10986,53.915,42.86,63.316,53.929,79.245,58.298,21.538,37.116,40.391,49.067,54.776,40.641,17.621
9,10,289,0.22232,3663.9,4445.2,9.5593,26.436,42.349,2698.4,73.895,120.43,0.34304,80.373,49.483,2627.5,25.08,50.081,3095.7,23.26,66.423,245.74,342.15,94.424,77.02,32.405,8.905,25.834,6.8536,19.068,1.641,33.022,13.778,23.488,1.2512,18.994,2.2473,4.9035,2.2945,0.015469,0.82769,0.10291,54.497,43.88,62.982,53.622,21.87,61.809,21.752,40.833,36.578,46.72,52.266,41.893,17.362
18,59,347,0.0026724,3800.1,4781.6,11.488,26.906,43.764,3000.0,69.55,120.41,0.2899,74.56,49.044,2943.4,24.064,49.517,3341.6,23.165,68.761,427.09,387.14,92.01,77.028,36.785,7.9405,29.047,6.396,13.546,1.4969,40.818,12.689,26.808,0.6916,11.05,2.0856,3.8561,1.9105,0.011452,0.47325,0.076075,52.328,45.123,73.085,80.666,0.0,100.01,45.764,1.9469,35.286,45.415,-0.094503,71.921,17.191
13,80,321,0.17418,3683.5,4429.6,9.2177,27.0,42.175,2867.1,76.163,120.39,0.21955,76.774,50.745,2797.3,25.936,49.649,3257.5,22.233,62.991,262.79,346.32,95.088,75.397,32.746,8.429,26.855,6.7407,18.994,1.5223,33.084,12.934,25.084,1.0482,20.032,2.0715,4.123,1.9033,0.018307,1.0822,0.12383,54.272,43.5,63.619,54.013,16.979,58.525,26.786,24.851,40.292,45.723,51.062,38.927,20.55
